report_section,schema_name,table_name,column_count,estimated_rows,table_size,table_trust_score,table_trust_level,table_sensitivity_level,table_sensitivity_score,pii_risk_assessment,completeness,consistency,freshness,total_reads,total_writes,last_access,usage_frequency,high_risk_pii_columns,medium_risk_pii_columns,low_risk_pii_columns,business_criticality,encryption_required,audit_logging_required,access_control_level
TABLE-LEVEL KPI DASHBOARD,Person,StateProvince,8,181,0.20 MB,56.25,MEDIUM,LOW,15,MINIMAL,100.00%,37.50%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,ProductProductPhoto,4,504,0.07 MB,57,MEDIUM,LOW,45,MINIMAL,100.00%,50.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Purchasing,ShipMethod,6,5,0.07 MB,57.33,MEDIUM,LOW,45,MINIMAL,100.00%,116.70%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,Document,14,13,0.45 MB,57.57,MEDIUM,LOW,45,LOW,78.60%,107.10%,10.00%,0,0,Never days,NO_USAGE,0,0,1,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Sales,SpecialOfferProduct,4,538,0.20 MB,59,MEDIUM,LOW,50,MINIMAL,100.00%,50.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,Product,25,504,0.26 MB,59.12,MEDIUM,LOW,45,MINIMAL,52.00%,120.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Person,BusinessEntityContact,5,909,0.20 MB,59.4,MEDIUM,LOW,15,MINIMAL,100.00%,60.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,ProductModelProductDescriptionCulture,4,762,0.20 MB,60.5,MEDIUM,LOW,45,MINIMAL,100.00%,75.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Sales,CountryRegionCurrency,3,109,0.07 MB,61.33,MEDIUM,LOW,50,MINIMAL,100.00%,66.70%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesPerson,9,17,0.07 MB,61.56,MEDIUM,LOW,50,MINIMAL,77.80%,122.20%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Sales,SpecialOffer,11,16,0.07 MB,61.82,MEDIUM,LOW,50,MINIMAL,90.90%,109.10%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Purchasing,ProductVendor,11,460,0.20 MB,62.45,MEDIUM,LOW,45,LOW,72.70%,127.30%,10.00%,0,0,Never days,NO_USAGE,0,0,1,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Sales,ShoppingCartItem,6,3,0.07 MB,62.67,MEDIUM,LOW,50,MINIMAL,100.00%,133.30%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,Location,5,14,0.07 MB,62.8,MEDIUM,LOW,45,MINIMAL,100.00%,120.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,ProductCostHistory,5,395,0.20 MB,63.6,MEDIUM,LOW,45,MINIMAL,80.00%,120.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,ProductListPriceHistory,5,395,0.20 MB,63.6,MEDIUM,LOW,45,MINIMAL,80.00%,120.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesTerritoryHistory,6,17,0.07 MB,64,MEDIUM,LOW,50,MINIMAL,83.30%,133.30%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesTerritory,10,10,0.07 MB,64.8,MEDIUM,LOW,50,MINIMAL,100.00%,120.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Purchasing,PurchaseOrderHeader,13,"4,012",0.45 MB,66.08,HIGH,LOW,45,MINIMAL,92.30%,130.80%,10.00%,0,0,Never days,NO_USAGE,0,0,0,SUPPORTING,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,BillOfMaterials,9,"2,679",0.32 MB,66.67,HIGH,LOW,45,MINIMAL,77.80%,144.40%,10.00%,0,0,Never days,NO_USAGE,0,0,0,OPERATIONAL,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Purchasing,PurchaseOrderDetail,11,"8,845",0.57 MB,66.82,HIGH,LOW,45,MINIMAL,100.00%,127.30%,10.00%,0,0,Never days,NO_USAGE,0,0,0,SUPPORTING,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,HumanResources,EmployeePayHistory,5,316,0.20 MB,67.8,HIGH,LOW,15,MINIMAL,100.00%,120.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,ProductInventory,7,"1,069",0.20 MB,68,HIGH,LOW,45,MINIMAL,100.00%,128.60%,10.00%,0,0,Never days,NO_USAGE,0,0,0,OPERATIONAL,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesPersonQuotaHistory,5,163,0.20 MB,68.8,HIGH,LOW,50,MINIMAL,100.00%,120.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,HumanResources,EmployeeDepartmentHistory,6,296,0.20 MB,69.33,HIGH,LOW,15,MINIMAL,83.30%,150.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
